"local_path","oss_object_key","content_type","original_size","optimized_size","saved_bytes","saved_percent","cache_control"
"tasks/T01/assets/起始帧.png","/tasks/T01/assets/起始帧.png","image/png","1724263","571219","1153044","66.87%","public, max-age=604800"
"tasks/T01/assets/T01_A02_self_feeling_transition_start.png","/tasks/T01/assets/T01_A02_self_feeling_transition_start.png","image/png","3350414","697502","2652912","79.18%","public, max-age=604800"
"tasks/T01/assets/T01_A03_feeling_question_end.png","/tasks/T01/assets/T01_A03_feeling_question_end.png","image/png","3671744","709700","2962044","80.67%","public, max-age=604800"
"tasks/T01/assets/T01_A06_reason_question_end.png","/tasks/T01/assets/T01_A06_reason_question_end.png","image/png","3627285","704584","2922701","80.58%","public, max-age=604800"
"tasks/T01/assets/T01_B02_emotion_question_end.png","/tasks/T01/assets/T01_B02_emotion_question_end.png","image/png","3412511","714646","2697865","79.06%","public, max-age=604800"
"tasks/T01/assets/T01_B03_cause_question_end.png","/tasks/T01/assets/T01_B03_cause_question_end.png","image/png","3356802","707381","2649421","78.93%","public, max-age=604800"
"tasks/T02/assets/T02_A01_background_clean.png","/tasks/T02/assets/T02_A01_background_clean.png","image/png","1469531","526134","943397","64.20%","public, max-age=604800"
"tasks/T02/assets/T02_A01_fish_piece.png","/tasks/T02/assets/T02_A01_fish_piece.png","image/png","2154657","183049","1971608","91.50%","public, max-age=604800"
"tasks/T02/assets/T02_A04_card_ask_dog.PNG","/tasks/T02/assets/T02_A04_card_ask_dog.PNG","image/png","403638","403638","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_A04_card_check_example.PNG","/tasks/T02/assets/T02_A04_card_check_example.PNG","image/png","272552","272552","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_A04_card_leave.PNG","/tasks/T02/assets/T02_A04_card_leave.PNG","image/png","417165","417165","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_A04_card_rotate.PNG","/tasks/T02/assets/T02_A04_card_rotate.PNG","image/png","261148","261148","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_A05_fish_complete_end.png","/tasks/T02/assets/T02_A05_fish_complete_end.png","image/png","3733505","724639","3008866","80.59%","public, max-age=604800"
"tasks/T02/assets/T02_B01_windmill_interaction_base.png","/tasks/T02/assets/T02_B01_windmill_interaction_base.png","image/png","1741361","521466","1219895","70.05%","public, max-age=604800"
"tasks/T02/assets/T02_B04_problem_completed.PNG","/tasks/T02/assets/T02_B04_problem_completed.PNG","image/png","1041529","1041529","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_B04_problem_missing_material.PNG","/tasks/T02/assets/T02_B04_problem_missing_material.PNG","image/png","673666","673666","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_B04_problem_unknown.PNG","/tasks/T02/assets/T02_B04_problem_unknown.PNG","image/png","763832","763832","0","0.00%","public, max-age=604800"
"tasks/T02/assets/T02_B04_problem_wrong_direction.PNG","/tasks/T02/assets/T02_B04_problem_wrong_direction.PNG","image/png","692806","692806","0","0.00%","public, max-age=604800"
